src_form,tgt_form,tgt_lang,meaning,sem_field,sem_cat,ID,Target_Form_ID,Target_Form_Row_ID,Target_WOLD_ID,Target_Language_ID_CLDF,Target_Glottocode,Source_Language,Source_Glottocode,Parameter_ID,Concepticon_ID,Concepticon_Gloss,Target_Borrowed,Target_Borrowed_Score,Borrowing_Comment,Borrowing_Source,label_loan,neg_type,pair_source,src_form_norm,tgt_form_norm,row_uid
þrír,aga,Seychelles Creole,the shame,Emotions and values,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,þrír,aga,noncognate_external_0006397
orvos,orvoši,Selice Romani,the physician,The body,Noun,366.0,SeliceRomani-4-87-1,48230.0,9.0,9.0,west2376,Hungarian,hung1274,4-87,597.0,PHYSICIAN,1. clearly borrowed,1.0,,,1,positive,wold_positive,orvos,orvoši,pos_0000358
ašoldoms,ašnazi͔ńe,Selice Romani,the boundary,Social and political relations,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ašoldoms,ašnazi͔ńe,cognate_external_0008984
pretiāre,praise,English,the praise,Emotions and values,Noun,14955.0,English-16-79-1,8164.0,13.0,13.0,stan1293,Late Latin,,16-79,1687.0,PRAISE,1. clearly borrowed,1.0,,,1,positive,wold_positive,pretiāre,praise,pos_0014295
sabbáta (Plural),sobota,Lower Sorbian,Saturday,Time,Noun,18220.0,LowerSorbian-14-68-1,28782.0,10.0,10.0,lowe1385,Latin,,14-68,1700.0,SATURDAY,1. clearly borrowed,1.0,,,1,positive,wold_positive,sabbáta (Plural),sobota,pos_0017314
mínsə́rá,músúmp,White Hmong,to burn(1),The physical world,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,mínsə́rá,músúmp,noncognate_external_0005849
piDD-,pitam,Gawwada,to buy,Possession,Verb,16191.0,Gawwada-11-81-1,9187.0,3.0,3.0,gaww1239,Konso,kons1243,11-81,1869.0,BUY,4. very little evidence for borrowing,0.25,,,1,positive,wold_positive,piDD-,pitam,pos_0015399
kɔtu,sürɛx,English,the pot,Food and drink,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,kɔtu,sürɛx,noncognate_external_0004835
hʉrjax,sʉræx,Romanian,the necklace,Clothing and grooming,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,hʉrjax,sʉræx,cognate_external_0006389
quaille,quail,English,the quail,Animals,Noun,10111.0,English-3-865-1,7203.0,13.0,13.0,stan1293,Old French,,3-865,1893.0,QUAIL,1. clearly borrowed,1.0,,,1,positive,wold_positive,quaille,quail,pos_0009681
tу́häшим,tuγə,English,the farmer,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,tу́häшим,tuγə,cognate_external_0005800
hjarta,širdis,Imbabura Quechua,the adze,Basic actions and technology,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,hjarta,širdis,cognate_external_0002895
fritar,prita-,Hup,to roast or fry,Food and drink,Verb,13234.0,Hup-5-23-2,14272.0,39.0,39.0,hupd1244,Portuguese,port1283,5-23,2146.0,ROAST OR FRY,1. clearly borrowed,1.0,,,1,positive,wold_positive,fritar,prita-,pos_0012682
"langar, nangar, nangal",nanga,Swahili,the anchor,Motion,Noun,21412.0,Swahili-10-89-1,52652.0,1.0,1.0,swah1253,Persian,west2369,10-89,1870.0,ANCHOR,1. clearly borrowed,1.0,,,1,positive,wold_positive,"langar, nangar, nangal",nanga,pos_0020410
jʉrǝk,jœræk,Imbabura Quechua,to divide,Spatial relations,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,jʉrǝk,jœræk,cognate_external_0007517
akalo,kalou,Seychelles Creole,the pestle,Food and drink,Noun,19427.0,SeychellesCreole-5-59-1,50185.0,7.0,7.0,sese1246,Malagasy,plat1254,5-59,225.0,PESTLE,1. clearly borrowed,1.0,,,1,positive,wold_positive,akalo,kalou,pos_0018487
világos,világošno,Selice Romani,light(2),Sense perception,Adjective,850.0,SeliceRomani-15-62-1,49037.0,9.0,9.0,west2376,Hungarian,hung1274,15-62,250.0,LIGHT (COLOR),1. clearly borrowed,1.0,,,1,positive,wold_positive,világos,világošno,pos_0000837
kelésia,kelesia,Mapudungun,the lizard,Animals,Noun,3548.0,Mapudungun-3-96-2,34523.0,41.0,41.0,mapu1245,Gününa Yajüch,puel1244,3-96,632.0,LIZARD,2. probably borrowed,0.75,,,1,positive,wold_positive,kelésia,kelesia,pos_0003460
"jürak,",чире́,Thai,the monkey,Animals,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,"jürak,",чире́,cognate_external_0006091
múrúi,jeraq,English,the soldier,Warfare and hunting,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,múrúi,jeraq,noncognate_external_0001651
anäbbäbä,nipaap,Gawwada,to read,Speech and language,Verb,16237.0,Gawwada-18-52-1,9512.0,3.0,3.0,gaww1239,Amharic,amha1245,18-52,724.0,READ,1. clearly borrowed,1.0,,,1,positive,wold_positive,anäbbäbä,nipaap,pos_0015444
tréyes,pɜlmu,Tarifiyt Berber,shallow,Spatial relations,Adjective,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,tréyes,pɜlmu,noncognate_external_0002351
йирак,сүрэх,Hausa,the livestock,Animals,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,йирак,сүрэх,noncognate_external_0002290
*exquadra,square,English,the square,Spatial relations,Noun,14910.0,English-12-78-1,7958.0,13.0,13.0,stan1293,Late Latin,,12-78,850.0,SQUARE,1. clearly borrowed,1.0,,,1,positive,wold_positive,*exquadra,square,pos_0014250
"saoto, soto",soto,Indonesian,the soup,Food and drink,Noun,9913.0,Indonesian-5-64-2,16993.0,27.0,27.0,indo1316,Sundanese,sund1252,5-64,1547.0,SOUP,1. clearly borrowed,1.0,,,1,positive,wold_positive,"saoto, soto",soto,pos_0009485
ʨërɛ́,ɟʝyrek,Hausa,to borrow,Possession,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ʨërɛ́,ɟʝyrek,cognate_external_0000571
herz,jürɐk,Thai,the postcard,Modern world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,herz,jürɐk,cognate_external_0007582
"зюрякъ,",djөrәk,Mapudungun,the farmer,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,"зюрякъ,",djөrәk,cognate_external_0001797
ballot,pāloka,Hawaiian,the vote or ballot or pole,Social and political relations,Noun,8035.0,Hawaiian-19-99937-1,13864.0,30.0,30.0,hawa1245,English,stan1293,19-99937,,,1. clearly borrowed,1.0,,,1,positive,wold_positive,ballot,pāloka,pos_0007651
tatá,taatá,Saramaccan,the father,Kinship,Noun,4537.0,Saramaccan-2-35-1,46579.0,36.0,36.0,sara1340,Loango,,2-35,1217.0,FATHER,1. clearly borrowed,1.0,,,1,positive,wold_positive,tatá,taatá,pos_0004431
jørek,syɾæq,Romanian,the fever,The body,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,jørek,syɾæq,cognate_external_0006469
jœræk,ʨʏrek,Zinacantán Tzotzil,the blood,The body,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,jœræk,ʨʏrek,cognate_external_0006868
vapori,vapor,Romanian,the ship,Motion,Noun,15354.0,Romanian-10-81-2,43947.0,8.0,8.0,roma1327,Greek,mode1248,10-81,740.0,SHIP,1. clearly borrowed,1.0,,,1,positive,wold_positive,vapori,vapor,pos_0014693
xorɨ,akšə̑mə̑ms,Ket,the tobacco,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,xorɨ,akšə̑mə̑ms,noncognate_external_0002532
amarduː,čiabu,Kildin Saami,the pepper,Food and drink,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,amarduː,čiabu,noncognate_external_0007971
akšə̑lgə̑ftə̑ms,ebure,Romanian,to carve,Basic actions and technology,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,akšə̑lgə̑ftə̑ms,ebure,noncognate_external_0010272
scorpio,scorp(i)o,Old High German,the scorpion,Animals,Noun,11244.0,OldHighGerman-3-815-1,35809.0,11.0,11.0,oldh1241,Latin,,3-815,1538.0,SCORPION,1. clearly borrowed,1.0,,,1,positive,wold_positive,scorpio,scorp(i)o,pos_0010708
adorer,sūhai,Japanese,to worship,Religion and belief,Verb,13116.0,Japanese-22-16-1,21693.0,21.0,21.0,nucl1643,French,stan1290,22-16,257.0,WORSHIP,1. clearly borrowed,1.0,,,1,positive,wold_positive,adorer,sūhai,pos_0012565
cupa,kappu,Japanese,the cup,Food and drink,Noun,13077.0,Japanese-5-35-1,20318.0,21.0,21.0,nucl1643,Latin,,5-35,476.0,CUP,1. clearly borrowed,1.0,,,1,positive,wold_positive,cupa,kappu,pos_0012527
йирак,ырааган,Romanian,the pan,Food and drink,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,йирак,ырааган,cognate_external_0008790
rostlina,rostlina,Lower Sorbian,the plant,Agriculture and vegetation,Noun,18170.0,LowerSorbian-8-53-1,28321.0,10.0,10.0,lowe1385,Upper Sorbian,uppe1395,8-53,653.0,PLANT (VEGETATION),1. clearly borrowed,1.0,,,1,positive,wold_positive,rostlina,rostlina,pos_0017266
mū,akšana,Q'eqchi',the brain,The body,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,mū,akšana,noncognate_external_0002817
akšə̑lgə̑ftə̑ms,óša,Swahili,to weigh,Possession,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšə̑lgə̑ftə̑ms,óša,cognate_external_0005182
akšə̑lgə̑ftan,mírh,Imbabura Quechua,the uncle,Kinship,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,akšə̑lgə̑ftan,mírh,noncognate_external_0007984
tre,sol,Dutch,the mosque,Religion and belief,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,tre,sol,noncognate_external_0005550
paroxód,parxodt,Kildin Saami,the ship,Motion,Noun,4254.0,KildinSaami-10-81-1,26886.0,14.0,14.0,kild1236,Russian,russ1263,10-81,740.0,SHIP,1. clearly borrowed,1.0,,,1,positive,wold_positive,paroxód,parxodt,pos_0004160
chay,chay,Iraqw,the tea,Modern world,Noun,1735.0,Iraqw-23-9-1,19678.0,2.0,2.0,iraq1241,Swahili,swah1253,23-9,1373.0,TEA,1. clearly borrowed,1.0,,,1,positive,wold_positive,chay,chay,pos_0001696
clārus,clear,English,clear,Cognition,Adjective,14961.0,English-17-34-1,8191.0,13.0,13.0,stan1293,Latin,,17-34,989.0,CLEAR,1. clearly borrowed,1.0,,,1,positive,wold_positive,clārus,clear,pos_0014301
túgschu,туксу,Bezhta,the motor,Modern world,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,túgschu,туксу,cognate_external_0000250
ɜraːχ,čiabu,Saramaccan,to eat,Food and drink,Verb,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,ɜraːχ,čiabu,noncognate_external_0008977
ǰač'vi,räč'ö,Bezhta,the chain,Basic actions and technology,Noun,18977.0,Bezhta-9-18-2,3606.0,15.0,15.0,bezh1248,Georgian,nucl1302,9-18,1627.0,CHAIN,2. probably borrowed,0.75,,,1,positive,wold_positive,ǰač'vi,räč'ö,pos_0018058
altar,altar,Takia,the altar,Religion and belief,Noun,1518.0,Takia-22-14-1,54673.0,29.0,29.0,taki1248,English,stan1293,22-14,853.0,ALTAR,1. clearly borrowed,1.0,,,1,positive,wold_positive,altar,altar,pos_0001488
dəšra,ddšā',Tarifiyt Berber,the village,Social and political relations,Noun,5709.0,TarifiytBerber-19-16-1,2732.0,6.0,6.0,tari1263,Arabic (Moroccan),moro1292,19-16,930.0,VILLAGE,1. clearly borrowed,1.0,,,1,positive,wold_positive,dəšra,ddšā',pos_0005432
žawab,žawab kɬordu,Archi,the defendant,Law,Noun,8877.0,Archi-21-22-1,1173.0,16.0,16.0,arch1244,Avar,avar1256,21-22,1034.0,DEFENDANT,1. clearly borrowed,1.0,,,1,positive,wold_positive,žawab,žawab kɬordu,pos_0008474
чире́,jʉrǝk,English,the cone,Agriculture and vegetation,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,чире́,jʉrǝk,cognate_external_0000684
srepi,séépi,Saramaccan,the fishnet,Warfare and hunting,Noun,5138.0,Saramaccan-20-54-2,47685.0,36.0,36.0,sara1340,Sranan,sran1240,20-54,388.0,FISHNET,1. clearly borrowed,1.0,,,1,positive,wold_positive,srepi,séépi,pos_0004908
θuri̅ya,zúur̃íyàa,Hausa,the descendants,Kinship,Noun,10708.0,Hausa-2-57-1,10806.0,4.0,4.0,haus1257,Arabic,stan1318,2-57,490.0,DESCENDANTS,1. clearly borrowed,1.0,,,1,positive,wold_positive,θuri̅ya,zúur̃íyàa,pos_0010269
xabü,дёло,Romanian,the street,Modern world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,xabü,дёло,noncognate_external_0003392
sapožnik,sappɨkɨhɨt,Sakha,the shoemaker,Clothing and grooming,Noun,17180.0,Sakha-6-54-1,45485.0,19.0,19.0,yaku1245,Russian,russ1263,6-54,875.0,SHOEMAKER,5. no evidence for borrowing,0.0,,,1,positive,wold_positive,sapožnik,sappɨkɨhɨt,pos_0016358
amaskiː,юряк,Ceq Wong,the rope,Basic actions and technology,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,amaskiː,юряк,noncognate_external_0003855
wine,waina,Hawaiian,the wine,Food and drink,Noun,7859.0,Hawaiian-5-92-1,12854.0,30.0,30.0,hawa1245,English,stan1293,5-92,1524.0,WINE,1. clearly borrowed,1.0,,,1,positive,wold_positive,wine,waina,pos_0007476
rož',rōšš',Kildin Saami,the rye,Agriculture and vegetation,Noun,4182.0,KildinSaami-8-45-1,26688.0,14.0,14.0,kild1236,Russian,russ1263,8-45,23.0,RYE,1. clearly borrowed,1.0,,,1,positive,wold_positive,rož',rōšš',pos_0004090
aceituna,asetuna,Q'eqchi',the olive,Food and drink,Noun,3692.0,Qeqchi-5-78-1,41293.0,34.0,34.0,kekc1242,Spanish,stan1288,5-78,1154.0,OLIVE,1. clearly borrowed,1.0,,,1,positive,wold_positive,aceituna,asetuna,pos_0003604
majom (majm-),majmo,Selice Romani,the monkey,Animals,Noun,246.0,SeliceRomani-3-76-1,48022.0,9.0,9.0,west2376,Hungarian,hung1274,3-76,1350.0,MONKEY,1. clearly borrowed,1.0,,,1,positive,wold_positive,majom (majm-),majmo,pos_0000239
Leiter,létra,Selice Romani,the ladder,The house,Noun,12704.0,SeliceRomani-7-37-1,48433.0,9.0,9.0,west2376,German,stan1295,7-37,1464.0,LADDER,1. clearly borrowed,1.0,,,1,positive,wold_positive,Leiter,létra,pos_0012154
velryba,velriba,Selice Romani,the whale,Animals,Noun,15615.0,SeliceRomani-3-663-1,48012.0,9.0,9.0,west2376,Czech,czec1258,3-663,957.0,WHALE,1. clearly borrowed,1.0,,,1,positive,wold_positive,velryba,velriba,pos_0014823
k(a)lam,gan3lan3,Mandarin Chinese,the olive,Food and drink,Noun,20137.0,MandarinChinese-5-78-1,32838.0,22.0,22.0,mand1415,Unidentified,,5-78,1154.0,OLIVE,1. clearly borrowed,1.0,,,1,positive,wold_positive,k(a)lam,gan3lan3,pos_0019179
dschurak,чжéгеръ,Tarifiyt Berber,the spider,Animals,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,dschurak,чжéгеръ,cognate_external_0002437
carnero,karnero,Zinacantán Tzotzil,the ram,Animals,Noun,6125.0,ZinacantanTzotzil-3-26-1,57040.0,33.0,33.0,tzot1259,Spanish,stan1288,3-26,1344.0,RAM,1. clearly borrowed,1.0,,,1,positive,wold_positive,carnero,karnero,pos_0005814
ашо,oʃ,Malagasy,the grave,The body,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,ашо,oʃ,cognate_external_0004268
akšə̑ńä,ašnazi͔ńe,Swahili,to bless,Religion and belief,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšə̑ńä,ašnazi͔ńe,cognate_external_0009006
vicia,bisya,Imbabura Quechua,the vetch,Agriculture and vegetation,Noun,16689.0,ImbaburaQuechua-8-99953-1,15617.0,37.0,37.0,imba1240,Spanish,stan1288,8-99953,,,1. clearly borrowed,1.0,,,1,positive,wold_positive,vicia,bisya,pos_0015890
чурегмъ,jœræk,Tarifiyt Berber,to look,Sense perception,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,чурегмъ,jœræk,cognate_external_0007529
akʃa,akšo·,Thai,the south,Spatial relations,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akʃa,akšo·,cognate_external_0004948
halāk,řəhřaš,Tarifiyt Berber,the disease,The body,Noun,13947.0,TarifiytBerber-4-844-1,1736.0,6.0,6.0,tari1263,Classical Arabic,,4-844,1986.0,DISEASE,1. clearly borrowed,1.0,,,1,positive,wold_positive,halāk,řəhřaš,pos_0013324
jabón,xab'on,Q'eqchi',the soap,Clothing and grooming,Noun,3720.0,Qeqchi-6-95-1,41371.0,34.0,34.0,kekc1242,Spanish,stan1288,6-95,788.0,SOAP,1. clearly borrowed,1.0,,,1,positive,wold_positive,jabón,xab'on,pos_0003632
sʉrəχ,*jürek,Tarifiyt Berber,to wash,Basic actions and technology,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,sʉrəχ,*jürek,cognate_external_0000929
tу́häшим,mùnkí,Japanese,the buttocks,The body,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,tу́häшим,mùnkí,noncognate_external_0000581
raaq,loup,Tarifiyt Berber,the beginning,Time,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,raaq,loup,noncognate_external_0007952
akšaza,ašoldoms,Selice Romani,the crocodile or alligator,Animals,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,akšaza,ašoldoms,cognate_external_0009684
bhūjaṃga-,mpanjàka,Malagasy,the queen,Social and political relations,Noun,13264.0,Malagasy-19-33-1,30715.0,28.0,28.0,plat1254,Sanskrit,sans1269,19-33,1306.0,QUEEN,2. probably borrowed,0.75,,,1,positive,wold_positive,bhūjaṃga-,mpanjàka,pos_0012712
túgschu,туhу,Otomi,the donkey,Animals,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,túgschu,туhу,cognate_external_0000259
jɐraq,urɑ:χ,Selice Romani,to try,Cognition,Verb,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,jɐraq,urɑ:χ,cognate_external_0003551
əra:x,ákúp,Kanuri,the shop/store,Possession,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,əra:x,ákúp,noncognate_external_0007688
tiānhòu,tenkō,Japanese,the weather,The physical world,Noun,2570.0,Japanese-1-78-2,19772.0,21.0,21.0,nucl1643,Chinese,mand1415,1-78,952.0,WEATHER,1. clearly borrowed,1.0,,,1,positive,wold_positive,tiānhòu,tenkō,pos_0002489
yaʔum,yîm,Kanuri,the day(2),Time,Noun,17885.0,Kanuri-14-411-1,24309.0,5.0,5.0,cent2050,Arabic,stan1318,14-411,1225.0,DAY (NOT NIGHT),2. probably borrowed,0.75,,,1,positive,wold_positive,yaʔum,yîm,pos_0016994
sirds,džürök,Swahili,the rudder,Motion,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,sirds,džürök,cognate_external_0008062
cadavre,cadavru,Romanian,the corpse,The body,Noun,11518.0,Romanian-4-77-1,43254.0,8.0,8.0,roma1327,French,stan1290,4-77,767.0,CORPSE,1. clearly borrowed,1.0,,,1,positive,wold_positive,cadavre,cadavru,pos_0010975
о́ша,ašińe,Tarifiyt Berber,twice/two times,Quantity,Function word,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,о́ша,ašińe,cognate_external_0009430
mū,míntú,Mandarin Chinese,the uncle,Kinship,Noun,,,,,,,,,,,,,,,,0,cognate_external,test_pos.txt,mū,míntú,cognate_external_0003643
куй,туксу,Gawwada,the telephone,Modern world,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,куй,туксу,noncognate_external_0003309
djolo,amardu,Gurindji,the monkey,Animals,Noun,,,,,,,,,,,,,,,,0,noncognate_external,test_neg.txt,djolo,amardu,noncognate_external_0006671
nǚzi,joshi,Japanese,the girl,Kinship,Noun,2307.0,Japanese-2-26-2,19805.0,21.0,21.0,nucl1643,Chinese,mand1415,2-26,1646.0,GIRL,1. clearly borrowed,1.0,,,1,positive,wold_positive,nǚzi,joshi,pos_0002244
shuōmíng,setsumei,Japanese,to explain,Cognition,Verb,2126.0,Japanese-17-38-1,21419.0,21.0,21.0,nucl1643,Chinese,mand1415,17-38,1626.0,EXPLAIN,1. clearly borrowed,1.0,,,1,positive,wold_positive,shuōmíng,setsumei,pos_0002075
aceite,asiyti,Imbabura Quechua,the oil,Food and drink,Noun,16427.0,ImbaburaQuechua-5-79-1,15505.0,37.0,37.0,imba1240,Spanish,stan1288,5-79,1484.0,OIL (ORGANIC SUBSTANCE),1. clearly borrowed,1.0,,,1,positive,wold_positive,aceite,asiyti,pos_0015628
